,Date,Tweet,Sentiment_Score
155,2016-06-14,'$SPY Everybody getting trapped today. Rough going for day traders..... $SPX $DIA $DJIA $IWM $QQQ $AAPL $AMZN $BABA $NFLX $FB $GOOG $GOOGL $C',-2.0
156,2016-06-14,'Alphabet Inc Valuation \xd0 June 2016 $GOOGL https://t.co/163BaswcTv #investing #valueinvesting',0.0
157,2016-06-14,'Google Fiber takes first step into Dallas --  https://t.co/6t9fKq9S2C  @DallasBizNews #googlefiber $GOOGL #GOOGL #business #Dallas',0.0
158,2016-06-14,"'RT @barronstechblog: Apple\xd5s WWDC: Drexel Loves \xd4The Matrix,\xd5 Others Praise \xd4Enhancements\xd5 - Tech Trader Daily - $AAPL $IBM $GOOGL https://\xc9'",6.0
159,2016-06-14,'$GOOGL:\r\rGoogle Fiber is headed to Dallas to step up its big-city game:\r\rhttps://t.co/0zbMZyMrzq',1.0
160,2016-06-14,'Noteworthy Tuesday Option Activity: $CMG  $GOOGL  $GOOG #stockoptions https://t.co/UIxCHLO3Nl',0.0
161,2016-06-14,'RT @FaizaYousuf: Facebook Is Losing Ground https://t.co/1jwYFmXoUC $CHAT $GOOG $GOOGL $TWTR $FB',0.0
162,2016-06-14,'Facebook Is Losing Ground https://t.co/1jwYFmXoUC $CHAT $GOOG $GOOGL $TWTR $FB',0.0
163,2016-06-14,"'RT @barronstechblog: Apple\xd5s WWDC: Drexel Loves \xd4The Matrix,\xd5 Others Praise \xd4Enhancements\xd5 - Tech Trader Daily - $AAPL $IBM $GOOGL https://\xc9'",6.0
164,2016-06-14,"'""Is $googl going to buy $twtr?"" The same question over and over and over again!!!'",0.0
165,2016-06-14,"'Apple\xd5s WWDC: Drexel Loves \xd4The Matrix,\xd5 Others Praise \xd4Enhancements\xd5 - Tech Trader Daily - $AAPL $IBM $GOOGL https://t.co/Rcd1vctdWT'",6.0
166,2016-06-14,'$TWTR $GOOGL:\r\rTwitter Inc (TWTR) Calls Hot as Buyout Buzz Builds:\r\rhttps://t.co/aSBTMQFzLm',0.0
167,2016-06-14,'$SPY S&amp;P 500: Bears May Be Overstaying Their Welcome https://t.co/UlxMX6nzCC $SPX $DIA $DJIA $QQQ $IWM $AAPL $GOOG $GOOGL $FB $NFLX $AMZN $C',2.0
168,2016-06-14,"'$TWTR - Back on WS radar after $LNKD buyout. 300 million users 2.2B in Sales, 3B Cash looks attractive for $GOOGL https://t.co/chn5Bm9qFB'",2.0
169,2016-06-14,'$SPY Did We Just Miss The Bear Market? https://t.co/jRBXIRDWy3 $SPX $QQQ $IWM $DIA $DJIA $AAPL $GOOG $GOOGL $NFLX $FB $AMZN $BABA $LNKD $CMG',-2.0
170,2016-06-14,'RT @investpro2000: Three firms considering $twtr purchase: $googl $aapl $dis',0.0
171,2016-06-14,'GOOGL Last Price\rSee Here ---&gt; https://t.co/VCX8uH80cG\r\r$GOOGL $ENH $TEX #finance',0.0
172,2016-06-14,'RT @PipsToDollars: $GOOGL $TWTR\rGoogle buying Twitter predicted to follow Microsoft\xd5s move for LinkedIn https://t.co/VTH4x6j6pa',0.0
